"","lat","lon"
"1",25.5,-20
"2",26,-20
"3",26.5,-20
"4",27,-20
"5",27.5,-20
"6",28,-20
"7",28.5,-20
"8",29,-20
"9",29.5,-20
"10",30,-20
"11",30.5,-20
"12",31,-20
"13",31.5,-20
"14",32,-20
"15",32.5,-20
"16",33,-20
"17",33.5,-20
"18",34,-20
"19",34.5,-20
"20",35,-20
"21",35.5,-20
"22",36,-20
"23",36.5,-20
"24",37,-20
"25",37.5,-20
"26",38,-20
"27",38.5,-20
"28",39,-20
"29",39.5,-20
"30",40,-20
"31",40.5,-20
"32",41,-20
"33",41.5,-20
"34",42,-20
"35",42.5,-20
"36",43,-20
"37",43.5,-20
"38",44,-20
"39",44.5,-20
"40",45,-20
"41",45.5,-20
"42",46,-20
"43",46.5,-20
"44",47,-20
"45",25.5,-19.375
"46",26,-19.375
"47",26.5,-19.375
"48",27,-19.375
"49",27.5,-19.375
"50",28,-19.375
"51",28.5,-19.375
"52",29,-19.375
"53",29.5,-19.375
"54",30,-19.375
"55",30.5,-19.375
"56",31,-19.375
"57",31.5,-19.375
"58",32,-19.375
"59",32.5,-19.375
"60",33,-19.375
"61",33.5,-19.375
"62",34,-19.375
"63",34.5,-19.375
"64",35,-19.375
"65",35.5,-19.375
"66",36,-19.375
"67",36.5,-19.375
"68",37,-19.375
"69",37.5,-19.375
"70",38,-19.375
"71",38.5,-19.375
"72",39,-19.375
"73",39.5,-19.375
"74",40,-19.375
"75",40.5,-19.375
"76",41,-19.375
"77",41.5,-19.375
"78",42,-19.375
"79",42.5,-19.375
"80",43,-19.375
"81",43.5,-19.375
"82",44,-19.375
"83",44.5,-19.375
"84",45,-19.375
"85",45.5,-19.375
"86",46,-19.375
"87",46.5,-19.375
"88",47,-19.375
"89",25.5,-18.75
"90",26,-18.75
"91",26.5,-18.75
"92",27,-18.75
"93",27.5,-18.75
"94",28,-18.75
"95",28.5,-18.75
"96",29,-18.75
"97",29.5,-18.75
"98",30,-18.75
"99",30.5,-18.75
"100",31,-18.75
"101",31.5,-18.75
"102",32,-18.75
"103",32.5,-18.75
"104",33,-18.75
"105",33.5,-18.75
"106",34,-18.75
"107",34.5,-18.75
"108",35,-18.75
"109",35.5,-18.75
"110",36,-18.75
"111",36.5,-18.75
"112",37,-18.75
"113",37.5,-18.75
"114",38,-18.75
"115",38.5,-18.75
"116",39,-18.75
"117",39.5,-18.75
"118",40,-18.75
"119",40.5,-18.75
"120",41,-18.75
"121",41.5,-18.75
"122",42,-18.75
"123",42.5,-18.75
"124",43,-18.75
"125",43.5,-18.75
"126",44,-18.75
"127",44.5,-18.75
"128",45,-18.75
"129",45.5,-18.75
"130",46,-18.75
"131",46.5,-18.75
"132",47,-18.75
"133",25.5,-18.125
"134",26,-18.125
"135",26.5,-18.125
"136",27,-18.125
"137",27.5,-18.125
"138",28,-18.125
"139",28.5,-18.125
"140",29,-18.125
"141",29.5,-18.125
"142",30,-18.125
"143",30.5,-18.125
"144",31,-18.125
"145",31.5,-18.125
"146",32,-18.125
"147",32.5,-18.125
"148",33,-18.125
"149",33.5,-18.125
"150",34,-18.125
"151",34.5,-18.125
"152",35,-18.125
"153",35.5,-18.125
"154",36,-18.125
"155",36.5,-18.125
"156",37,-18.125
"157",37.5,-18.125
"158",38,-18.125
"159",38.5,-18.125
"160",39,-18.125
"161",39.5,-18.125
"162",40,-18.125
"163",40.5,-18.125
"164",41,-18.125
"165",41.5,-18.125
"166",42,-18.125
"167",42.5,-18.125
"168",43,-18.125
"169",43.5,-18.125
"170",44,-18.125
"171",44.5,-18.125
"172",45,-18.125
"173",45.5,-18.125
"174",46,-18.125
"175",46.5,-18.125
"176",47,-18.125
"177",25.5,-17.5
"178",26,-17.5
"179",26.5,-17.5
"180",27,-17.5
"181",27.5,-17.5
"182",28,-17.5
"183",28.5,-17.5
"184",29,-17.5
"185",29.5,-17.5
"186",30,-17.5
"187",30.5,-17.5
"188",31,-17.5
"189",31.5,-17.5
"190",32,-17.5
"191",32.5,-17.5
"192",33,-17.5
"193",33.5,-17.5
"194",34,-17.5
"195",34.5,-17.5
"196",35,-17.5
"197",35.5,-17.5
"198",36,-17.5
"199",36.5,-17.5
"200",37,-17.5
"201",37.5,-17.5
"202",38,-17.5
"203",38.5,-17.5
"204",39,-17.5
"205",39.5,-17.5
"206",40,-17.5
"207",40.5,-17.5
"208",41,-17.5
"209",41.5,-17.5
"210",42,-17.5
"211",42.5,-17.5
"212",43,-17.5
"213",43.5,-17.5
"214",44,-17.5
"215",44.5,-17.5
"216",45,-17.5
"217",45.5,-17.5
"218",46,-17.5
"219",46.5,-17.5
"220",47,-17.5
"221",25.5,-16.875
"222",26,-16.875
"223",26.5,-16.875
"224",27,-16.875
"225",27.5,-16.875
"226",28,-16.875
"227",28.5,-16.875
"228",29,-16.875
"229",29.5,-16.875
"230",30,-16.875
"231",30.5,-16.875
"232",31,-16.875
"233",31.5,-16.875
"234",32,-16.875
"235",32.5,-16.875
"236",33,-16.875
"237",33.5,-16.875
"238",34,-16.875
"239",34.5,-16.875
"240",35,-16.875
"241",35.5,-16.875
"242",36,-16.875
"243",36.5,-16.875
"244",37,-16.875
"245",37.5,-16.875
"246",38,-16.875
"247",38.5,-16.875
"248",39,-16.875
"249",39.5,-16.875
"250",40,-16.875
"251",40.5,-16.875
"252",41,-16.875
"253",41.5,-16.875
"254",42,-16.875
"255",42.5,-16.875
"256",43,-16.875
"257",43.5,-16.875
"258",44,-16.875
"259",44.5,-16.875
"260",45,-16.875
"261",45.5,-16.875
"262",46,-16.875
"263",46.5,-16.875
"264",47,-16.875
"265",25.5,-16.25
"266",26,-16.25
"267",26.5,-16.25
"268",27,-16.25
"269",27.5,-16.25
"270",28,-16.25
"271",28.5,-16.25
"272",29,-16.25
"273",29.5,-16.25
"274",30,-16.25
"275",30.5,-16.25
"276",31,-16.25
"277",31.5,-16.25
"278",32,-16.25
"279",32.5,-16.25
"280",33,-16.25
"281",33.5,-16.25
"282",34,-16.25
"283",34.5,-16.25
"284",35,-16.25
"285",35.5,-16.25
"286",36,-16.25
"287",36.5,-16.25
"288",37,-16.25
"289",37.5,-16.25
"290",38,-16.25
"291",38.5,-16.25
"292",39,-16.25
"293",39.5,-16.25
"294",40,-16.25
"295",40.5,-16.25
"296",41,-16.25
"297",41.5,-16.25
"298",42,-16.25
"299",42.5,-16.25
"300",43,-16.25
"301",43.5,-16.25
"302",44,-16.25
"303",44.5,-16.25
"304",45,-16.25
"305",45.5,-16.25
"306",46,-16.25
"307",46.5,-16.25
"308",47,-16.25
"309",25.5,-15.625
"310",26,-15.625
"311",26.5,-15.625
"312",27,-15.625
"313",27.5,-15.625
"314",28,-15.625
"315",28.5,-15.625
"316",29,-15.625
"317",29.5,-15.625
"318",30,-15.625
"319",30.5,-15.625
"320",31,-15.625
"321",31.5,-15.625
"322",32,-15.625
"323",32.5,-15.625
"324",33,-15.625
"325",33.5,-15.625
"326",34,-15.625
"327",34.5,-15.625
"328",35,-15.625
"329",35.5,-15.625
"330",36,-15.625
"331",36.5,-15.625
"332",37,-15.625
"333",37.5,-15.625
"334",38,-15.625
"335",38.5,-15.625
"336",39,-15.625
"337",39.5,-15.625
"338",40,-15.625
"339",40.5,-15.625
"340",41,-15.625
"341",41.5,-15.625
"342",42,-15.625
"343",42.5,-15.625
"344",43,-15.625
"345",43.5,-15.625
"346",44,-15.625
"347",44.5,-15.625
"348",45,-15.625
"349",45.5,-15.625
"350",46,-15.625
"351",46.5,-15.625
"352",47,-15.625
"353",25.5,-15
"354",26,-15
"355",26.5,-15
"356",27,-15
"357",27.5,-15
"358",28,-15
"359",28.5,-15
"360",29,-15
"361",29.5,-15
"362",30,-15
"363",30.5,-15
"364",31,-15
"365",31.5,-15
"366",32,-15
"367",32.5,-15
"368",33,-15
"369",33.5,-15
"370",34,-15
"371",34.5,-15
"372",35,-15
"373",35.5,-15
"374",36,-15
"375",36.5,-15
"376",37,-15
"377",37.5,-15
"378",38,-15
"379",38.5,-15
"380",39,-15
"381",39.5,-15
"382",40,-15
"383",40.5,-15
"384",41,-15
"385",41.5,-15
"386",42,-15
"387",42.5,-15
"388",43,-15
"389",43.5,-15
"390",44,-15
"391",44.5,-15
"392",45,-15
"393",45.5,-15
"394",46,-15
"395",46.5,-15
"396",47,-15
"397",25.5,-14.375
"398",26,-14.375
"399",26.5,-14.375
"400",27,-14.375
"401",27.5,-14.375
"402",28,-14.375
"403",28.5,-14.375
"404",29,-14.375
"405",29.5,-14.375
"406",30,-14.375
"407",30.5,-14.375
"408",31,-14.375
"409",31.5,-14.375
"410",32,-14.375
"411",32.5,-14.375
"412",33,-14.375
"413",33.5,-14.375
"414",34,-14.375
"415",34.5,-14.375
"416",35,-14.375
"417",35.5,-14.375
"418",36,-14.375
"419",36.5,-14.375
"420",37,-14.375
"421",37.5,-14.375
"422",38,-14.375
"423",38.5,-14.375
"424",39,-14.375
"425",39.5,-14.375
"426",40,-14.375
"427",40.5,-14.375
"428",41,-14.375
"429",41.5,-14.375
"430",42,-14.375
"431",42.5,-14.375
"432",43,-14.375
"433",43.5,-14.375
"434",44,-14.375
"435",44.5,-14.375
"436",45,-14.375
"437",45.5,-14.375
"438",46,-14.375
"439",46.5,-14.375
"440",47,-14.375
"441",25.5,-13.75
"442",26,-13.75
"443",26.5,-13.75
"444",27,-13.75
"445",27.5,-13.75
"446",28,-13.75
"447",28.5,-13.75
"448",29,-13.75
"449",29.5,-13.75
"450",30,-13.75
"451",30.5,-13.75
"452",31,-13.75
"453",31.5,-13.75
"454",32,-13.75
"455",32.5,-13.75
"456",33,-13.75
"457",33.5,-13.75
"458",34,-13.75
"459",34.5,-13.75
"460",35,-13.75
"461",35.5,-13.75
"462",36,-13.75
"463",36.5,-13.75
"464",37,-13.75
"465",37.5,-13.75
"466",38,-13.75
"467",38.5,-13.75
"468",39,-13.75
"469",39.5,-13.75
"470",40,-13.75
"471",40.5,-13.75
"472",41,-13.75
"473",41.5,-13.75
"474",42,-13.75
"475",42.5,-13.75
"476",43,-13.75
"477",43.5,-13.75
"478",44,-13.75
"479",44.5,-13.75
"480",45,-13.75
"481",45.5,-13.75
"482",46,-13.75
"483",46.5,-13.75
"484",47,-13.75
"485",25.5,-13.125
"486",26,-13.125
"487",26.5,-13.125
"488",27,-13.125
"489",27.5,-13.125
"490",28,-13.125
"491",28.5,-13.125
"492",29,-13.125
"493",29.5,-13.125
"494",30,-13.125
"495",30.5,-13.125
"496",31,-13.125
"497",31.5,-13.125
"498",32,-13.125
"499",32.5,-13.125
"500",33,-13.125
"501",33.5,-13.125
"502",34,-13.125
"503",34.5,-13.125
"504",35,-13.125
"505",35.5,-13.125
"506",36,-13.125
"507",36.5,-13.125
"508",37,-13.125
"509",37.5,-13.125
"510",38,-13.125
"511",38.5,-13.125
"512",39,-13.125
"513",39.5,-13.125
"514",40,-13.125
"515",40.5,-13.125
"516",41,-13.125
"517",41.5,-13.125
"518",42,-13.125
"519",42.5,-13.125
"520",43,-13.125
"521",43.5,-13.125
"522",44,-13.125
"523",44.5,-13.125
"524",45,-13.125
"525",45.5,-13.125
"526",46,-13.125
"527",46.5,-13.125
"528",47,-13.125
"529",25.5,-12.5
"530",26,-12.5
"531",26.5,-12.5
"532",27,-12.5
"533",27.5,-12.5
"534",28,-12.5
"535",28.5,-12.5
"536",29,-12.5
"537",29.5,-12.5
"538",30,-12.5
"539",30.5,-12.5
"540",31,-12.5
"541",31.5,-12.5
"542",32,-12.5
"543",32.5,-12.5
"544",33,-12.5
"545",33.5,-12.5
"546",34,-12.5
"547",34.5,-12.5
"548",35,-12.5
"549",35.5,-12.5
"550",36,-12.5
"551",36.5,-12.5
"552",37,-12.5
"553",37.5,-12.5
"554",38,-12.5
"555",38.5,-12.5
"556",39,-12.5
"557",39.5,-12.5
"558",40,-12.5
"559",40.5,-12.5
"560",41,-12.5
"561",41.5,-12.5
"562",42,-12.5
"563",42.5,-12.5
"564",43,-12.5
"565",43.5,-12.5
"566",44,-12.5
"567",44.5,-12.5
"568",45,-12.5
"569",45.5,-12.5
"570",46,-12.5
"571",46.5,-12.5
"572",47,-12.5
"573",25.5,-11.875
"574",26,-11.875
"575",26.5,-11.875
"576",27,-11.875
"577",27.5,-11.875
"578",28,-11.875
"579",28.5,-11.875
"580",29,-11.875
"581",29.5,-11.875
"582",30,-11.875
"583",30.5,-11.875
"584",31,-11.875
"585",31.5,-11.875
"586",32,-11.875
"587",32.5,-11.875
"588",33,-11.875
"589",33.5,-11.875
"590",34,-11.875
"591",34.5,-11.875
"592",35,-11.875
"593",35.5,-11.875
"594",36,-11.875
"595",36.5,-11.875
"596",37,-11.875
"597",37.5,-11.875
"598",38,-11.875
"599",38.5,-11.875
"600",39,-11.875
"601",39.5,-11.875
"602",40,-11.875
"603",40.5,-11.875
"604",41,-11.875
"605",41.5,-11.875
"606",42,-11.875
"607",42.5,-11.875
"608",43,-11.875
"609",43.5,-11.875
"610",44,-11.875
"611",44.5,-11.875
"612",45,-11.875
"613",45.5,-11.875
"614",46,-11.875
"615",46.5,-11.875
"616",47,-11.875
"617",25.5,-11.25
"618",26,-11.25
"619",26.5,-11.25
"620",27,-11.25
"621",27.5,-11.25
"622",28,-11.25
"623",28.5,-11.25
"624",29,-11.25
"625",29.5,-11.25
"626",30,-11.25
"627",30.5,-11.25
"628",31,-11.25
"629",31.5,-11.25
"630",32,-11.25
"631",32.5,-11.25
"632",33,-11.25
"633",33.5,-11.25
"634",34,-11.25
"635",34.5,-11.25
"636",35,-11.25
"637",35.5,-11.25
"638",36,-11.25
"639",36.5,-11.25
"640",37,-11.25
"641",37.5,-11.25
"642",38,-11.25
"643",38.5,-11.25
"644",39,-11.25
"645",39.5,-11.25
"646",40,-11.25
"647",40.5,-11.25
"648",41,-11.25
"649",41.5,-11.25
"650",42,-11.25
"651",42.5,-11.25
"652",43,-11.25
"653",43.5,-11.25
"654",44,-11.25
"655",44.5,-11.25
"656",45,-11.25
"657",45.5,-11.25
"658",46,-11.25
"659",46.5,-11.25
"660",47,-11.25
"661",25.5,-10.625
"662",26,-10.625
"663",26.5,-10.625
"664",27,-10.625
"665",27.5,-10.625
"666",28,-10.625
"667",28.5,-10.625
"668",29,-10.625
"669",29.5,-10.625
"670",30,-10.625
"671",30.5,-10.625
"672",31,-10.625
"673",31.5,-10.625
"674",32,-10.625
"675",32.5,-10.625
"676",33,-10.625
"677",33.5,-10.625
"678",34,-10.625
"679",34.5,-10.625
"680",35,-10.625
"681",35.5,-10.625
"682",36,-10.625
"683",36.5,-10.625
"684",37,-10.625
"685",37.5,-10.625
"686",38,-10.625
"687",38.5,-10.625
"688",39,-10.625
"689",39.5,-10.625
"690",40,-10.625
"691",40.5,-10.625
"692",41,-10.625
"693",41.5,-10.625
"694",42,-10.625
"695",42.5,-10.625
"696",43,-10.625
"697",43.5,-10.625
"698",44,-10.625
"699",44.5,-10.625
"700",45,-10.625
"701",45.5,-10.625
"702",46,-10.625
"703",46.5,-10.625
"704",47,-10.625
"705",25.5,-10
"706",26,-10
"707",26.5,-10
"708",27,-10
"709",27.5,-10
"710",28,-10
"711",28.5,-10
"712",29,-10
"713",29.5,-10
"714",30,-10
"715",30.5,-10
"716",31,-10
"717",31.5,-10
"718",32,-10
"719",32.5,-10
"720",33,-10
"721",33.5,-10
"722",34,-10
"723",34.5,-10
"724",35,-10
"725",35.5,-10
"726",36,-10
"727",36.5,-10
"728",37,-10
"729",37.5,-10
"730",38,-10
"731",38.5,-10
"732",39,-10
"733",39.5,-10
"734",40,-10
"735",40.5,-10
"736",41,-10
"737",41.5,-10
"738",42,-10
"739",42.5,-10
"740",43,-10
"741",43.5,-10
"742",44,-10
"743",44.5,-10
"744",45,-10
"745",45.5,-10
"746",46,-10
"747",46.5,-10
"748",47,-10
"749",25.5,-9.375
"750",26,-9.375
"751",26.5,-9.375
"752",27,-9.375
"753",27.5,-9.375
"754",28,-9.375
"755",28.5,-9.375
"756",29,-9.375
"757",29.5,-9.375
"758",30,-9.375
"759",30.5,-9.375
"760",31,-9.375
"761",31.5,-9.375
"762",32,-9.375
"763",32.5,-9.375
"764",33,-9.375
"765",33.5,-9.375
"766",34,-9.375
"767",34.5,-9.375
"768",35,-9.375
"769",35.5,-9.375
"770",36,-9.375
"771",36.5,-9.375
"772",37,-9.375
"773",37.5,-9.375
"774",38,-9.375
"775",38.5,-9.375
"776",39,-9.375
"777",39.5,-9.375
"778",40,-9.375
"779",40.5,-9.375
"780",41,-9.375
"781",41.5,-9.375
"782",42,-9.375
"783",42.5,-9.375
"784",43,-9.375
"785",43.5,-9.375
"786",44,-9.375
"787",44.5,-9.375
"788",45,-9.375
"789",45.5,-9.375
"790",46,-9.375
"791",46.5,-9.375
"792",47,-9.375
"793",25.5,-8.75
"794",26,-8.75
"795",26.5,-8.75
"796",27,-8.75
"797",27.5,-8.75
"798",28,-8.75
"799",28.5,-8.75
"800",29,-8.75
"801",29.5,-8.75
"802",30,-8.75
"803",30.5,-8.75
"804",31,-8.75
"805",31.5,-8.75
"806",32,-8.75
"807",32.5,-8.75
"808",33,-8.75
"809",33.5,-8.75
"810",34,-8.75
"811",34.5,-8.75
"812",35,-8.75
"813",35.5,-8.75
"814",36,-8.75
"815",36.5,-8.75
"816",37,-8.75
"817",37.5,-8.75
"818",38,-8.75
"819",38.5,-8.75
"820",39,-8.75
"821",39.5,-8.75
"822",40,-8.75
"823",40.5,-8.75
"824",41,-8.75
"825",41.5,-8.75
"826",42,-8.75
"827",42.5,-8.75
"828",43,-8.75
"829",43.5,-8.75
"830",44,-8.75
"831",44.5,-8.75
"832",45,-8.75
"833",45.5,-8.75
"834",46,-8.75
"835",46.5,-8.75
"836",47,-8.75
"837",25.5,-8.125
"838",26,-8.125
"839",26.5,-8.125
"840",27,-8.125
"841",27.5,-8.125
"842",28,-8.125
"843",28.5,-8.125
"844",29,-8.125
"845",29.5,-8.125
"846",30,-8.125
"847",30.5,-8.125
"848",31,-8.125
"849",31.5,-8.125
"850",32,-8.125
"851",32.5,-8.125
"852",33,-8.125
"853",33.5,-8.125
"854",34,-8.125
"855",34.5,-8.125
"856",35,-8.125
"857",35.5,-8.125
"858",36,-8.125
"859",36.5,-8.125
"860",37,-8.125
"861",37.5,-8.125
"862",38,-8.125
"863",38.5,-8.125
"864",39,-8.125
"865",39.5,-8.125
"866",40,-8.125
"867",40.5,-8.125
"868",41,-8.125
"869",41.5,-8.125
"870",42,-8.125
"871",42.5,-8.125
"872",43,-8.125
"873",43.5,-8.125
"874",44,-8.125
"875",44.5,-8.125
"876",45,-8.125
"877",45.5,-8.125
"878",46,-8.125
"879",46.5,-8.125
"880",47,-8.125
"881",25.5,-7.5
"882",26,-7.5
"883",26.5,-7.5
"884",27,-7.5
"885",27.5,-7.5
"886",28,-7.5
"887",28.5,-7.5
"888",29,-7.5
"889",29.5,-7.5
"890",30,-7.5
"891",30.5,-7.5
"892",31,-7.5
"893",31.5,-7.5
"894",32,-7.5
"895",32.5,-7.5
"896",33,-7.5
"897",33.5,-7.5
"898",34,-7.5
"899",34.5,-7.5
"900",35,-7.5
"901",35.5,-7.5
"902",36,-7.5
"903",36.5,-7.5
"904",37,-7.5
"905",37.5,-7.5
"906",38,-7.5
"907",38.5,-7.5
"908",39,-7.5
"909",39.5,-7.5
"910",40,-7.5
"911",40.5,-7.5
"912",41,-7.5
"913",41.5,-7.5
"914",42,-7.5
"915",42.5,-7.5
"916",43,-7.5
"917",43.5,-7.5
"918",44,-7.5
"919",44.5,-7.5
"920",45,-7.5
"921",45.5,-7.5
"922",46,-7.5
"923",46.5,-7.5
"924",47,-7.5
"925",25.5,-6.875
"926",26,-6.875
"927",26.5,-6.875
"928",27,-6.875
"929",27.5,-6.875
"930",28,-6.875
"931",28.5,-6.875
"932",29,-6.875
"933",29.5,-6.875
"934",30,-6.875
"935",30.5,-6.875
"936",31,-6.875
"937",31.5,-6.875
"938",32,-6.875
"939",32.5,-6.875
"940",33,-6.875
"941",33.5,-6.875
"942",34,-6.875
"943",34.5,-6.875
"944",35,-6.875
"945",35.5,-6.875
